Sample number,Protein,concentration (mg/ml),Spinning device,Extrusion device,Number of baths,Temperature SB,Spinning Buffer,SB pH,SB conc. (mM),NaCl (mM),Capillery type,Capillery size (um),Reeling speed (rpm),Flow rate (ul/min),pumppressure (bar),Temp C (spinning),Humidity (spinning),Continous spinning,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,Diameter (µm),Strain (mm/mm),Strength (MPa),Youngs Modulus (GPa),Toughness Modulus (MJ m-3)
0.2% DMSA spin 100rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,58.0,100.0,17.0,,22.2,0.35,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,13.09488889,1.525138272,77.63120598,2.45,90.0351824
0.2% DMSA spin 50rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,58.0,50.0,17.0,,22.2,0.35,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,24.33644444,1.996132898,57.45794387,2.47,89.70610085
0.2% Dextran spin 100rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.5,0.42,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.62466667,1.103017681,64.55738011,1.84,50.52482632
0.2% Dextran spin 50rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.42,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,17.08922222,1.721856997,54.47735046,1.74,64.15579825
0.4% PEDOT,NT2RepCT,300.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,62.0,100.0,17.0,,22.1,0.16,discontinous,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,16.5,0.431780153,80.46364773,3.48,24.67131328
1% DMSA spin 100rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,57.0,100.0,17.0,,21.9,0.36,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,5.42,0.704277979,127.1489879,3.25,74.47839241
1% DMSA spin 50rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,57.0,50.0,17.0,,21.9,0.36,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.12733333,1.760577481,83.2401661,2.2,99.70893335
1% Dextran spin 100rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,62.0,100.0,17.0,,22.1,0.38,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.579,1.370188736,115.8620657,2.84,109.3999161
1% Dextran spin 50rpm,NT2RepCT,326.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,62.0,50.0,17.0,,22.1,0.38,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,13.90266667,1.852904155,76.42802877,2.23,104.1376928
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,15.42,0.2607145347157897,92.33064888196915,3.6,22.48187463662313
