iter	Passed	Remaining
0	39	71191
1	74	67295
2	114	68566
3	155	69906
4	191	68789
5	239	71645
6	292	75012
7	320	71814
8	356	71105
9	394	70776
10	431	70241
11	470	70199
12	506	69698
13	520	66505
14	558	66616
15	594	66440
16	632	66483
17	672	66681
18	686	64441
19	708	63187
20	737	62573
21	775	62745
22	812	62848
23	852	63187
24	888	63213
25	925	63269
26	962	63341
27	1002	63546
28	1007	61608
29	1052	62221
30	1078	61624
31	1188	65800
32	1223	65634
33	1279	66590
34	1319	66649
35	1336	65615
36	1376	65677
37	1411	65571
38	1450	65621
39	1486	65503
40	1525	65568
41	1565	65637
42	1605	65710
43	1611	64413
44	1651	64533
45	1690	64556
46	1727	64535
47	1767	64615
48	1796	64314
49	1832	64230
50	1836	63094
51	1873	63086
52	1910	63070
53	1949	63128
54	1986	63141
55	2025	63200
56	2066	63310
57	2083	62670
58	2121	62713
59	2158	62716
60	2201	62863
61	2243	62987
62	2282	63029
63	2321	63075
64	2361	63134
65	2401	63209
66	2439	63211
67	2479	63255
68	2517	63270
69	2562	63430
70	2599	63409
71	2636	63382
72	2673	63350
73	2715	63444
74	2752	63428
75	2789	63383
76	2827	63388
77	2865	63366
78	2902	63343
79	2939	63303
80	2977	63303
81	3014	63257
82	3049	63198
83	3088	63205
84	3125	63169
85	3163	63160
86	3200	63128
87	3242	63195
88	3255	62692
89	3290	62621
90	3325	62568
91	3363	62551
92	3400	62527
93	3424	62259
94	3459	62195
95	3495	62158
96	3532	62131
97	3569	62099
98	3596	61909
99	3632	61858
100	3668	61812
101	3702	61750
102	3741	61758
103	3779	61740
104	3815	61702
105	3855	61718
106	3891	61687
107	3929	61666
108	3966	61639
109	4005	61647
110	4043	61633
111	4079	61593
112	4115	61553
113	4152	61520
114	4188	61487
115	4228	61496
116	4264	61456
117	4302	61439
118	4345	61497
119	4386	61527
120	4426	61529
121	4462	61493
122	4503	61511
123	4541	61488
124	4579	61474
125	4618	61463
126	4658	61471
127	4694	61431
128	4735	61456
129	4771	61411
130	4807	61360
131	4845	61338
132	4868	61125
133	4901	61044
134	4937	61003
135	5025	61602
136	5067	61619
137	5109	61647
138	5147	61617
139	5190	61652
140	5233	61682
141	5274	61702
142	5312	61670
143	5351	61650
144	5392	61655
145	5429	61617
146	5465	61569
147	5515	61679
148	5561	61740
149	5602	61734
150	5642	61731
151	5682	61718
152	5722	61712
153	5760	61679
154	5799	61657
155	5837	61630
156	5873	61583
157	5909	61530
158	5948	61504
159	5988	61490
160	6029	61494
161	6071	61497
162	6113	61513
163	6152	61491
164	6276	62310
165	6341	62537
166	6387	62578
167	6433	62607
168	6468	62546
169	6506	62501
170	6546	62477
171	6581	62413
172	6618	62354
173	6658	62342
174	6696	62297
175	6734	62257
176	6772	62213
177	6807	62144
178	6844	62099
179	6881	62047
180	6919	62004
181	6955	61951
182	7001	61980
183	7037	61925
184	7075	61884
185	7112	61833
186	7148	61779
187	7186	61733
188	7227	61717
189	7265	61678
190	7296	61582
191	7332	61528
192	7368	61469
193	7406	61429
194	7443	61381
195	7481	61340
196	7521	61315
197	7558	61271
198	7600	61266
199	7644	61272
200	7682	61230
201	7722	61202
202	7760	61164
203	7797	61116
204	7834	61074
205	7875	61052
206	7910	60994
207	7948	60951
208	7985	60907
209	8024	60872
210	8062	60834
211	8101	60799
212	8143	60787
213	8182	60756
214	8227	60767
215	8267	60745
216	8304	60696
217	8344	60671
218	8385	60652
219	8422	60603
220	8460	60560
221	8499	60532
222	8539	60501
223	8577	60460
224	8619	60452
225	8660	60433
226	8701	60415
227	8741	60386
228	8778	60334
229	8815	60292
230	8853	60250
231	8967	60725
232	9023	60803
233	9062	60763
234	9099	60717
235	9141	60698
236	9196	60769
237	9285	61061
238	9345	61156
239	9404	61249
240	9454	61279
241	9513	61364
242	9558	61360
243	9605	61375
244	9652	61384
245	9708	61447
246	9752	61438
247	9796	61427
248	9836	61390
249	9880	61376
250	9919	61337
251	9960	61304
252	10001	61276
253	10045	61259
254	10095	61284
255	10145	61310
256	10197	61345
257	10239	61315
258	10281	61291
259	10322	61262
260	10362	61219
261	10401	61179
262	10439	61130
263	10476	61072
264	10513	61020
265	10559	61012
266	10600	60982
267	10627	60869
268	10663	60808
269	10701	60761
270	10739	60711
271	10776	60656
272	10823	60659
273	10860	60603
274	10898	60557
275	10939	60521
276	10976	60469
277	11014	60420
278	11051	60368
279	11090	60323
280	11128	60276
281	11169	60245
282	11209	60205
283	11244	60144
284	11284	60103
285	11322	60055
286	11361	60013
287	11399	59964
288	11437	59918
289	11474	59863
290	11511	59813
291	11547	59755
292	11584	59699
293	11623	59657
294	11660	59607
295	11698	59558
296	11735	59505
297	11765	59417
298	11802	59370
299	11841	59323
300	11878	59272
301	11915	59224
302	11952	59171
303	11990	59124
304	12027	59074
305	12065	59028
306	12103	58982
307	12141	58934
308	12179	58886
309	12217	58842
310	12257	58805
311	12296	58762
312	12333	58711
313	12369	58657
314	12406	58608
315	12444	58559
316	12479	58502
317	12517	58454
318	12553	58398
319	12594	58365
320	12633	58328
321	12668	58266
322	12705	58219
323	12745	58180
324	12785	58142
325	12822	58095
326	12864	58066
327	12901	58017
328	12940	57977
329	12977	57926
330	13012	57867
331	13049	57818
332	13087	57772
333	13122	57714
334	13157	57658
335	13198	57627
336	13235	57578
337	13272	57528
338	13316	57506
339	13353	57457
340	13393	57424
341	13434	57389
342	13472	57346
343	13512	57308
344	13551	57267
345	13589	57225
346	13633	57206
347	13671	57162
348	13710	57119
349	13747	57071
350	13782	57015
351	13817	56957
352	13855	56912
353	13891	56861
354	13928	56812
355	13966	56766
356	14007	56736
357	14047	56698
358	14084	56652
359	14124	56615
360	14166	56586
361	14203	56540
362	14242	56501
363	14281	56457
364	14329	56452
365	14360	56381
366	14402	56356
367	14442	56317
368	14479	56271
369	14517	56225
370	14555	56180
371	14593	56137
372	14632	56096
373	14669	56048
374	14713	56030
375	14752	55988
376	14790	55945
377	14829	55903
378	14867	55859
379	14912	55842
380	14949	55794
381	14986	55749
382	15024	55704
383	15064	55667
384	15100	55616
385	15137	55570
386	15177	55533
387	15216	55491
388	15259	55466
389	15296	55420
390	15340	55399
391	15381	55364
392	15416	55311
393	15456	55274
394	15496	55237
395	15532	55188
396	15564	55121
397	15599	55070
398	15636	55023
399	15675	54980
400	15713	54939
401	15752	54897
402	15790	54854
403	15829	54817
404	15870	54783
405	15910	54747
406	15950	54709
407	15994	54688
408	16033	54646
409	16077	54623
410	16115	54582
411	16156	54546
412	16192	54497
413	16230	54455
414	16267	54406
415	16306	54367
416	16343	54321
417	16379	54272
418	16415	54222
419	16454	54181
420	16493	54141
421	16535	54113
422	16576	54078
423	16614	54037
424	16652	53993
425	16703	53992
426	16742	53951
427	16781	53911
428	16819	53868
429	16857	53824
430	16895	53783
431	16941	53765
432	16982	53730
433	17021	53691
434	17062	53657
435	17103	53625
436	17142	53584
437	17187	53563
